window_index,start_ps,end_ps,toggled_bits,toggle_events
16569,1325520000,1325600000,12263,2294
16570,1325600000,1325680000,20575,3970
16571,1325680000,1325760000,22362,4215
16572,1325760000,1325840000,15926,3361
16573,1325840000,1325920000,13373,2485
16574,1325920000,1326000000,22184,4002
16575,1326000000,1326080000,20240,3885
16576,1326080000,1326160000,16478,3443
16577,1326160000,1326240000,14528,2733
16578,1326240000,1326320000,20493,3992
16579,1326320000,1326400000,19165,3621
16580,1326400000,1326480000,16206,3364
16581,1326480000,1326560000,16972,3081
16582,1326560000,1326640000,22542,4001
16583,1326640000,1326720000,18197,3610
16584,1326720000,1326800000,15573,3129
16585,1326800000,1326880000,17488,3305
16586,1326880000,1326960000,21405,4005
16587,1326960000,1327040000,17578,3590
16588,1327040000,1327120000,15152,3022
16589,1327120000,1327200000,18295,3437
16590,1327200000,1327280000,21995,4107
16591,1327280000,1327360000,16642,3573
16592,1327360000,1327440000,13251,2584
16593,1327440000,1327520000,19679,3775
