window_index,start_ps,end_ps,toggled_bits,toggle_events
9084,726720000,726800000,21699,4099
9085,726800000,726880000,17743,3633
9086,726880000,726960000,14932,3108
9087,726960000,727040000,18582,3532
9088,727040000,727120000,22248,4202
9089,727120000,727200000,16753,3624
9090,727200000,727280000,13080,2694
9091,727280000,727360000,19600,3863
9092,727360000,727440000,23174,4226
9093,727440000,727520000,17042,3603
9094,727520000,727600000,12822,2483
9095,727600000,727680000,21849,4074
9096,727680000,727760000,24251,4379
9097,727760000,727840000,16205,3524
9098,727840000,727920000,12791,2413
9099,727920000,728000000,21306,4061
9100,728000000,728080000,22450,4283
9101,728080000,728160000,15935,3405
9102,728160000,728240000,13928,2604
9103,728240000,728320000,22329,4094
9104,728320000,728400000,20999,3933
9105,728400000,728480000,16338,3517
9106,728480000,728560000,14824,2829
9107,728560000,728640000,22066,4090
9108,728640000,728720000,19730,3672
9109,728720000,728800000,15986,3438
9110,728800000,728880000,17239,3178
9111,728880000,728960000,23029,4107
9112,728960000,729040000,18313,3669
9113,729040000,729120000,15761,3207
9114,729120000,729200000,17936,3400
9115,729200000,729280000,22740,4102
9116,729280000,729360000,18441,3638
9117,729360000,729440000,14960,3108
9118,729440000,729520000,18122,3532
9119,729520000,729600000,22826,4195
9120,729600000,729680000,16556,3613
9121,729680000,729760000,13073,2694
9122,729760000,729840000,19353,3864
9123,729840000,729920000,22843,4226
9124,729920000,730000000,16964,3600
9125,730000000,730080000,12617,2483
9126,730080000,730160000,21198,4070
9127,730160000,730240000,23665,4370
9128,730240000,730320000,15992,3525
9129,730320000,730400000,12481,2413
9130,730400000,730480000,21084,4058
9131,730480000,730560000,22867,4278
9132,730560000,730640000,15621,3405
9133,730640000,730720000,13665,2604
9134,730720000,730800000,22295,4089
9135,730800000,730880000,20697,3946
9136,730880000,730960000,16224,3517
9137,730960000,731040000,14197,2829
9138,731040000,731120000,22419,4087
9139,731120000,731200000,19410,3673
9140,731200000,731280000,15989,3438
9141,731280000,731360000,16936,3178
9142,731360000,731440000,23107,4096
9143,731440000,731520000,18085,3656
9144,731520000,731600000,15357,3207
9145,731600000,731680000,17176,3400
9146,731680000,731760000,22589,4099
9147,731760000,731840000,17638,3633
9148,731840000,731920000,14573,3108
9149,731920000,732000000,17959,3532
9150,732000000,732080000,22217,4194
9151,732080000,732160000,16501,3618
9152,732160000,732240000,13017,2694
9153,732240000,732320000,19480,3863
9154,732320000,732400000,22688,4226
9155,732400000,732480000,16621,3603
9156,732480000,732560000,13051,2483
9157,732560000,732640000,21676,4071
9158,732640000,732720000,23655,4370
9159,732720000,732800000,16009,3524
9160,732800000,732880000,12848,2413
9161,732880000,732960000,21249,4061
9162,732960000,733040000,23187,4283
9163,733040000,733120000,15578,3405
9164,733120000,733200000,13832,2604
9165,733200000,733280000,22331,4094
9166,733280000,733360000,20577,3933
9167,733360000,733440000,16217,3517
9168,733440000,733520000,14392,2829
9169,733520000,733600000,22034,4084
9170,733600000,733680000,19623,3672
9171,733680000,733760000,16118,3438
9172,733760000,733840000,17163,3178
9173,733840000,733920000,23304,4101
9174,733920000,734000000,18162,3663
9175,734000000,734080000,15033,3207
9176,734080000,734160000,16788,3400
9177,734160000,734240000,22646,4108
9178,734240000,734320000,17541,3638
9179,734320000,734400000,14393,3108
9180,734400000,734480000,17809,3532
9181,734480000,734560000,22476,4201
9182,734560000,734640000,16413,3613
9183,734640000,734720000,12854,2694
9184,734720000,734800000,19718,3864
9185,734800000,734880000,23418,4232
9186,734880000,734960000,17116,3600
9187,734960000,735040000,12588,2483
9188,735040000,735120000,21504,4070
9189,735120000,735200000,23306,4370
9190,735200000,735280000,16192,3525
9191,735280000,735360000,12646,2413
9192,735360000,735440000,21371,4058
9193,735440000,735520000,23503,4278
9194,735520000,735600000,15585,3405
9195,735600000,735680000,13582,2604
9196,735680000,735760000,21813,4089
9197,735760000,735840000,20115,3934
9198,735840000,735920000,16141,3517
9199,735920000,736000000,14600,2829
9200,736000000,736080000,21587,4093
9201,736080000,736160000,19315,3667
9202,736160000,736240000,16157,3438
9203,736240000,736320000,16693,3178
9204,736320000,736400000,23124,4102
9205,736400000,736480000,17930,3662
9206,736480000,736560000,15643,3207
9207,736560000,736640000,17842,3400
9208,736640000,736720000,22210,4099
9209,736720000,736800000,17741,3633
9210,736800000,736880000,15020,3108
9211,736880000,736960000,18358,3532
9212,736960000,737040000,22195,4206
9213,737040000,737120000,16751,3618
9214,737120000,737200000,13109,2694
9215,737200000,737280000,19951,3863
9216,737280000,737360000,23731,4226
9217,737360000,737440000,16752,3603
9218,737440000,737520000,12818,2483
9219,737520000,737600000,21436,4071
9220,737600000,737680000,23738,4370
9221,737680000,737760000,16255,3524
9222,737760000,737840000,12892,2413
9223,737840000,737920000,21664,4061
9224,737920000,738000000,22998,4283
9225,738000000,738080000,16064,3405
9226,738080000,738160000,13813,2604
9227,738160000,738240000,22611,4094
9228,738240000,738320000,20744,3933
9229,738320000,738400000,16479,3517
9230,738400000,738480000,14633,2829
9231,738480000,738560000,21425,4090
9232,738560000,738640000,19889,3672
9233,738640000,738720000,15981,3438
9234,738720000,738800000,16429,3178
9235,738800000,738880000,22578,4101
9236,738880000,738960000,18326,3663
9237,738960000,739040000,15429,3207
9238,739040000,739120000,17249,3400
9239,739120000,739200000,21638,4102
9240,739200000,739280000,17573,3638
9241,739280000,739360000,15033,3108
9242,739360000,739440000,18467,3532
9243,739440000,739520000,22843,4195
9244,739520000,739600000,16791,3613
9245,739600000,739680000,12979,2694
9246,739680000,739760000,19537,3864
9247,739760000,739840000,22937,4224
9248,739840000,739920000,17023,3604
9249,739920000,740000000,12758,2483
9250,740000000,740080000,21578,4070
9251,740080000,740160000,24106,4370
9252,740160000,740240000,16219,3525
